layer,cache,component,shape,numel,mean,std,min,max,abs_mean,rms,p01,p50,p99,zero_fraction,residual_to_receiver_rms
20,receiver,V,1x8x50x128,51200,0.0687803328037262,3.255781650543213,-18.25,19.875,2.4712393283843994,3.2565078735351562,-8.0,0.02081298828125,8.5625,0.0,
20,fused,V,1x8x50x128,51200,0.0687803328037262,3.255781650543213,-18.25,19.875,2.4712393283843994,3.2565078735351562,-8.0,0.02081298828125,8.5625,0.0,
20,fused_minus_receiver,V,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21,receiver,K,1x8x50x128,51200,0.006373059470206499,2.2620604038238525,-34.75,28.0,1.2157223224639893,2.2620694637298584,-6.78125,0.00045108795166015625,6.6566162109375,0.00011718749738065526,
21,fused,K,1x8x50x128,51200,-0.009196307510137558,2.429166555404663,-34.75,28.0,1.4056529998779297,2.4291839599609375,-6.71875,-0.0004215240478515625,6.75,1.9531249563442543e-05,
21,fused_minus_receiver,K,1x8x50x128,51200,-0.015574133954942226,0.8979452252388,-6.59375,7.3125,0.3579385280609131,0.8980802297592163,-3.46875,0.0,3.046875,0.3125976622104645,0.39701708729952034
21,receiver,V,1x8x50x128,51200,0.003782038576900959,4.493760585784912,-26.875,27.375,3.397298574447632,4.493762016296387,-11.5625,0.01824951171875,11.4375,0.0,
21,fused,V,1x8x50x128,51200,0.003782038576900959,4.493760585784912,-26.875,27.375,3.397298574447632,4.493762016296387,-11.5625,0.01824951171875,11.4375,0.0,
21,fused_minus_receiver,V,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,receiver,K,1x8x50x128,51200,-0.04984061047434807,1.9348946809768677,-22.25,17.5,1.1488102674484253,1.9355363845825195,-6.4375,-0.0033721923828125,6.5625,7.812499825377017e-05,
22,fused,K,1x8x50x128,51200,-0.058435458689928055,2.057722568511963,-23.625,17.75,1.2787854671478271,2.0585520267486572,-6.5,-0.01092529296875,6.9375,3.9062499126885086e-05,
22,fused_minus_receiver,K,1x8x50x128,51200,-0.008589465171098709,0.6671609878540039,-10.1875,8.5,0.24514250457286835,0.6672163009643555,-2.40625,0.0,2.359375,0.19570311903953552,0.34471906923530604
22,receiver,V,1x8x50x128,51200,0.051096055656671524,4.6791534423828125,-25.625,24.125,3.5942163467407227,4.679432392120361,-11.625,0.013946533203125,11.8125,0.0,
22,fused,V,1x8x50x128,51200,0.06676638126373291,5.17418909072876,-45.5,38.25,3.972515106201172,5.174619674682617,-12.8125,0.014617919921875,12.8125,9.765624417923391e-05,
22,fused_minus_receiver,V,1x8x50x128,51200,0.01569201983511448,2.2313084602355957,-21.5,23.75,1.329681396484375,2.231363534927368,-6.65625,0.0,6.5,0.10851562023162842,0.4768449136448117
23,receiver,K,1x8x50x128,51200,0.06809106469154358,2.7942800521850586,-28.0,32.75,1.5551172494888306,2.795109510421753,-8.8125,0.004241943359375,9.625,0.00015624999650754035,
23,fused,K,1x8x50x128,51200,0.08118715137243271,2.900721549987793,-28.0,32.75,1.6877574920654297,2.901857376098633,-8.6875,0.00023126602172851562,9.875,7.812499825377017e-05,
23,fused_minus_receiver,K,1x8x50x128,51200,0.013087739236652851,0.8753177523612976,-7.5,8.125,0.29889774322509766,0.8754155039787292,-3.40625,0.0,3.4375,0.4253320097923279,0.313195422474391
23,receiver,V,1x8x50x128,51200,-0.0008870220044627786,5.064962387084961,-34.25,34.5,3.801295757293701,5.064962863922119,-13.125,0.00179290771484375,12.8125,0.0,
23,fused,V,1x8x50x128,51200,-0.005013640038669109,5.31955623626709,-32.75,34.5,4.011379718780518,5.319558143615723,-13.5625,-0.00726318359375,13.5,3.9062499126885086e-05,
23,fused_minus_receiver,V,1x8x50x128,51200,-0.004132948815822601,1.6547198295593262,-16.625,17.0,0.9529342651367188,1.6547249555587769,-4.875,0.0,4.9375,0.1570117175579071,0.3267003135097854
24,receiver,K,1x8x50x128,51200,0.07096859812736511,3.3053860664367676,-45.0,35.25,1.6482396125793457,3.306147575378418,-9.9375,-0.0003662109375,12.25,0.00011718749738065526,
24,fused,K,1x8x50x128,51200,0.07096859812736511,3.3053860664367676,-45.0,35.25,1.6482396125793457,3.306147575378418,-9.9375,-0.0003662109375,12.25,0.00011718749738065526,
24,fused_minus_receiver,K,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,receiver,V,1x8x50x128,51200,-0.03272468224167824,6.514018535614014,-42.75,37.75,4.887614727020264,6.514100551605225,-16.875,-0.0093994140625,16.75,0.0,
24,fused,V,1x8x50x128,51200,-0.03272468224167824,6.514018535614014,-42.75,37.75,4.887614727020264,6.514100551605225,-16.875,-0.0093994140625,16.75,0.0,
24,fused_minus_receiver,V,1x8x50x128,51200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,receiver,K,1x8x50x128,51200,0.013534436002373695,3.0158307552337646,-36.5,37.75,1.521566390991211,3.0158612728118896,-10.75,0.0004940032958984375,10.8125,0.00011718749738065526,
25,fused,K,1x8x50x128,51200,0.013534436002373695,3.0158307552337646,-36.5,37.75,1.521566390991211,3.0158612728118896,-10.75,0.0004940032958984375,10.8125,0.00011718749738065526,
